timestamp,office_from_id,route_id,horizon,volume,manual_volume,small_trucks,medium_trucks,large_trucks,manual_small,manual_medium,manual_large
2025-05-30 12:30:00,1,33,2h,118,109.25,6,6,2,6,5,2
2025-05-30 14:30:00,1,33,4h,135,131.64444444444445,6,6,3,7,5,3
2025-05-30 12:30:00,1,51,2h,56,68.21111111111111,3,3,1,3,4,1
2025-05-30 14:30:00,1,51,4h,61,83.14444444444445,4,3,1,4,3,2
2025-05-30 12:30:00,1,52,2h,40,46.90555555555556,1,2,1,3,2,1
2025-05-30 14:30:00,1,52,4h,51,58.705555555555556,2,3,1,3,3,1
2025-05-30 12:30:00,1,105,2h,174,146.65,10,8,3,8,6,3
2025-05-30 14:30:00,1,105,4h,194,182.28333333333333,10,8,4,10,9,3
2025-05-30 12:30:00,1,128,2h,87,84.36111111111111,5,3,2,5,3,2
2025-05-30 14:30:00,1,128,4h,98,92.22777777777777,4,5,2,4,4,2
2025-05-30 12:30:00,1,143,2h,124,95.22777777777777,7,6,2,5,4,2
2025-05-30 14:30:00,1,143,4h,141,113.16666666666667,7,6,3,5,6,2
2025-05-30 12:30:00,1,157,2h,110,94.63333333333334,6,5,2,5,4,2
2025-05-30 14:30:00,1,157,4h,129,98.75,6,5,3,4,5,2
2025-05-30 12:30:00,1,171,2h,95,79.82777777777778,5,4,2,4,3,2
2025-05-30 14:30:00,1,171,4h,107,97.31111111111112,6,5,2,4,5,2
2025-05-30 12:30:00,1,184,2h,64,60.977777777777774,4,3,1,4,3,1
2025-05-30 14:30:00,1,184,4h,71,74.22222222222223,4,4,1,3,3,2
2025-05-30 12:30:00,1,194,2h,207,182.2111111111111,11,9,4,10,9,3
2025-05-30 14:30:00,1,194,4h,224,208.57777777777778,13,10,4,10,10,4
2025-05-30 12:30:00,1,226,2h,45,62.78888888888889,2,2,1,4,3,1
2025-05-30 14:30:00,1,226,4h,54,72.96666666666667,2,3,1,4,4,1
2025-05-30 12:30:00,1,240,2h,78,78.83888888888889,3,3,2,4,3,2
2025-05-30 14:30:00,1,240,4h,86,88.12222222222222,5,3,2,4,4,2
2025-05-30 12:30:00,1,249,2h,121,105.95555555555555,7,6,2,5,5,2
2025-05-30 14:30:00,1,249,4h,144,130.12777777777777,8,6,3,7,5,3
2025-05-30 12:30:00,1,255,2h,181,154.55,10,9,3,8,7,3
2025-05-30 14:30:00,1,255,4h,216,198.04444444444445,11,10,4,10,9,4
2025-05-30 12:30:00,1,297,2h,133,112.43888888888888,7,5,3,7,5,2
2025-05-30 14:30:00,1,297,4h,154,143.33333333333334,8,7,3,7,6,3
2025-05-30 12:30:00,1,309,2h,99,84.65,4,5,2,5,3,2
2025-05-30 14:30:00,1,309,4h,111,103.64444444444445,6,5,2,5,5,2
2025-05-30 12:30:00,1,327,2h,113,94.58333333333333,5,6,2,5,4,2
2025-05-30 14:30:00,1,327,4h,131,120.38333333333334,7,5,3,7,6,2
2025-05-30 12:30:00,1,356,2h,160,164.80555555555554,7,8,3,8,8,3
2025-05-30 14:30:00,1,356,4h,190,195.50555555555556,10,10,3,9,9,4
2025-05-30 12:30:00,1,378,2h,98,94.54444444444445,4,5,2,5,4,2
2025-05-30 14:30:00,1,378,4h,113,117.62222222222222,5,6,2,6,6,2
2025-05-30 12:30:00,1,419,2h,184,177.50555555555556,10,9,3,9,9,3
2025-05-30 14:30:00,1,419,4h,210,217.67222222222222,11,10,4,12,10,4
2025-05-30 12:30:00,1,425,2h,101,115.18888888888888,6,4,2,5,6,2
2025-05-30 14:30:00,1,425,4h,132,130.71666666666667,7,5,3,7,5,3
2025-05-30 12:30:00,1,435,2h,92,90.67222222222222,4,4,2,4,4,2
2025-05-30 14:30:00,1,435,4h,99,102.89444444444445,4,5,2,5,5,2
2025-05-30 12:30:00,1,496,2h,122,101.83333333333333,7,6,2,6,4,2
2025-05-30 14:30:00,1,496,4h,137,130.9111111111111,6,6,3,7,5,3
2025-05-30 12:30:00,1,559,2h,37,42.266666666666666,2,1,1,2,2,1
2025-05-30 14:30:00,1,559,4h,38,49.577777777777776,1,2,1,3,2,1
2025-05-30 12:30:00,1,568,2h,135,117.94444444444444,6,6,3,6,6,2
2025-05-30 14:30:00,1,568,4h,138,137.60555555555555,6,6,3,6,6,3
2025-05-30 12:30:00,1,585,2h,137,115.29444444444445,6,6,3,5,6,2
2025-05-30 14:30:00,1,585,4h,157,131.82222222222222,8,7,3,7,5,3
